dataset,variant,strategy,k,model,n_rows,n_features,accuracy,f1_macro,delta_accuracy,delta_f1_macro
adult,baseline,,,LogisticRegression,48842,12,0.8749104309550619,0.815388934505783,,
adult,baseline,,,RandomForest,48842,12,0.8535162247927116,0.7871818341597367,,
adult,anonymized,public,2.0,LogisticRegression,48842,12,0.8674378134916573,0.8029695604495024,0.007472617463404663,0.012419374056280574
adult,anonymized,public,2.0,RandomForest,48842,12,0.8511618384686253,0.7850068263208401,0.002354386324086355,0.002175007838896681
adult,anonymized,public,5.0,LogisticRegression,48842,12,0.8674378134916573,0.7999519600892391,0.007472617463404663,0.015436974416543903
adult,anonymized,public,5.0,RandomForest,48842,12,0.8545398710205753,0.785435834579197,-0.0010236462278636616,0.001745999580539781
adult,anonymized,public,10.0,LogisticRegression,48842,12,0.8632408639574163,0.7953373605415142,0.011669566997645653,0.02005157396426882
adult,anonymized,public,10.0,RandomForest,48842,12,0.8563824342307299,0.7867602581715085,-0.0028662094380182968,0.00042157598822822884
adult,anonymized,public,20.0,LogisticRegression,48842,12,0.8686661889650936,0.8040434662474838,0.006244241989968313,0.011345468258299185
adult,anonymized,public,20.0,RandomForest,48842,12,0.8553587880028662,0.7852403740529876,-0.0018425632101546352,0.0019414601067491155
adult,anonymized,all,2.0,LogisticRegression,46711,12,0.8387027721288666,0.7683051148206799,0.036207658826195366,0.04708381968510311
adult,anonymized,all,2.0,RandomForest,46711,12,0.8350636840415284,0.7489477254693706,0.01845254075118319,0.03823410869036614
adult,anonymized,all,5.0,LogisticRegression,46560,12,0.8238831615120275,0.7464525019811719,0.051027269443034484,0.06893643252461112
adult,anonymized,all,5.0,RandomForest,46560,12,0.8265678694158075,0.7557956373636143,0.0269483553769041,0.03138619679612242
adult,anonymized,all,10.0,LogisticRegression,46514,12,0.8169407717940449,0.7559734824976343,0.05796965916101704,0.059415452008148684
adult,anonymized,all,10.0,RandomForest,46514,12,0.8164033107599699,0.7504343734254435,0.03711291403274175,0.03674746073429325
adult,anonymized,all,20.0,LogisticRegression,46475,12,0.8169983862291554,0.7557699687517132,0.0579120447259065,0.059618965754069775
adult,anonymized,all,20.0,RandomForest,46475,12,0.8195804195804196,0.7600417948703146,0.033935805212292,0.027140039289422102
bank,baseline,,,LogisticRegression,45211,8,0.8835563419219286,0.504248051138111,,
bank,baseline,,,RandomForest,45211,8,0.8916288842198385,0.6176292316842031,,
bank,anonymized,public,2.0,LogisticRegression,45211,8,0.8828928452947031,0.4989462293658493,0.0006634966272254239,0.005301821772261683
bank,anonymized,public,2.0,RandomForest,45211,8,0.8941722879575362,0.6437026447021044,-0.0025434037376976804,-0.026073413017901226
bank,anonymized,public,5.0,LogisticRegression,45211,8,0.883777507464337,0.5051896502812484,-0.00022116554240847464,-0.000941599143137406
bank,anonymized,public,5.0,RandomForest,45211,8,0.8905230565077961,0.6392803957025848,0.0011058277120424842,-0.02165116401838163
bank,anonymized,public,10.0,LogisticRegression,45211,8,0.8847727524051753,0.5082114666382745,-0.0012164104832467215,-0.003963415500163547
bank,anonymized,public,10.0,RandomForest,45211,8,0.8901913081941834,0.6397203783351707,0.0014375760256551962,-0.022091146650967564
bank,anonymized,public,20.0,LogisticRegression,45211,8,0.8832245936083158,0.5040608251277576,0.00033174831361271195,0.0001872260103533696
bank,anonymized,public,20.0,RandomForest,45211,8,0.8887537321685282,0.6293886279432968,0.0028751520513103923,-0.011759396259093613
bank,anonymized,all,2.0,LogisticRegression,43692,8,0.8815653964984552,0.4742353148592734,0.0019909454234733337,0.030012736278837604
bank,anonymized,all,2.0,RandomForest,43692,8,0.8780180798718389,0.5094248946891481,0.013610804347999661,0.10820433699505505
bank,anonymized,all,5.0,LogisticRegression,43706,8,0.8829787234042553,0.483114833489126,0.0005776185176732396,0.021133217648985014
bank,anonymized,all,5.0,RandomForest,43706,8,0.8822923816060398,0.4909255560971411,0.009336502613798703,0.12670367558706203
bank,anonymized,all,10.0,LogisticRegression,42989,8,0.8829960455919982,0.4709039592949781,0.0005602963299303765,0.03334409184313292
bank,anonymized,all,10.0,RandomForest,42989,8,0.8828797394742963,0.4795463025228117,0.008749144745542226,0.13808292916139142
bank,anonymized,all,20.0,LogisticRegression,43027,8,0.882872414594469,0.4708651734738691,0.0006839273274595881,0.03338287766424192
bank,anonymized,all,20.0,RandomForest,43027,8,0.8826400185916802,0.4727448838044991,0.008988865628158371,0.14488434787970406
german,baseline,,,LogisticRegression,1000,20,0.69,0.6236036911121904,,
german,baseline,,,RandomForest,1000,20,0.745,0.6254269031618376,,
german,anonymized,public,2.0,LogisticRegression,1000,20,0.715,0.6363752352397053,-0.025000000000000022,-0.012771544127514911
german,anonymized,public,2.0,RandomForest,1000,20,0.735,0.597126677055224,0.010000000000000009,0.028300226106613535
german,anonymized,public,5.0,LogisticRegression,1000,20,0.785,0.7223567393058918,-0.09500000000000008,-0.09875304819370145
german,anonymized,public,5.0,RandomForest,1000,20,0.745,0.5898838004101161,0.0,0.035543102751721456
german,anonymized,public,10.0,LogisticRegression,1000,20,0.72,0.6489028213166144,-0.030000000000000027,-0.02529913020442398
german,anonymized,public,10.0,RandomForest,1000,20,0.72,0.5852466301288698,0.025000000000000022,0.040180273032967784
german,anonymized,public,20.0,LogisticRegression,1000,20,0.735,0.6577885391444713,-0.04500000000000004,-0.034184848032280946
german,anonymized,public,20.0,RandomForest,1000,20,0.73,0.593128390596745,0.015000000000000013,0.03229851256509253
german,anonymized,all,2.0,LogisticRegression,952,20,0.6858638743455497,0.4505178365937859,0.004136125654450207,0.17308585451840447
german,anonymized,all,2.0,RandomForest,952,20,0.680628272251309,0.5221278864689718,0.06437172774869104,0.10329901669286579
german,anonymized,all,5.0,LogisticRegression,957,20,0.6979166666666666,0.4817572598659717,-0.007916666666666683,0.1418464312462187
german,anonymized,all,5.0,RandomForest,957,20,0.6927083333333334,0.4788129744651483,0.052291666666666625,0.14661392869668927
german,anonymized,all,10.0,LogisticRegression,958,20,0.6979166666666666,0.4110429447852761,-0.007916666666666683,0.2125607463269143
german,anonymized,all,10.0,RandomForest,958,20,0.7083333333333334,0.5495223730517849,0.036666666666666625,0.07590453011005271
german,anonymized,all,20.0,LogisticRegression,950,20,0.6947368421052632,0.4551028481012658,-0.0047368421052632614,0.1685008430109246
german,anonymized,all,20.0,RandomForest,950,20,0.6947368421052632,0.4551028481012658,0.05026315789473679,0.1703240550605718
